código,tipo,municipio,territorial,nivel_subsiguiente,fuente,altitud,latitud,longitud,ubicacion,codigo_ideam,categoria_ideam
2001,Limnígrafo IDEAM,Caucasia,Panzenú,R. Bajo San Jorge - NSS,Río Cauca,49,7.9621389,-75.1960000,La coquera,26247020.0,LG
2002,Limnígrafo IDEAM,La Pintada,Cartama,R. FR. y Otros Directos al Cauca - NSS,Río Cauca,1870,5.7307222,-75.6081111,La pintada,26187110.0,LG
2003,Limnígrafo IDEAM,Nechí,Panzenú,R. Bajo Nechí (mi) - NSS,Río Nechí,33,8.0301111,-74.7855556,"La esperanza, Nechí",27037010.0,LG
2008,Limnígrafo IDEAM,Puerto Berrío,Zenufaná,R. San Bartolo y otros directos al Magdalena Medio - NSS,Río Magdalena,111,6.4851389,-74.4011667,Puerto Berrío,23097030.0,LG
2004,Limnígrafo IDEAM,Tarazá,Panzenú,R. Taraza y otros directos cauca (md) - NSS,Río Tarazá,110,7.5825278,-75.4200556,Las Camelias,26247050.0,LG
2005,Limnígrafo IDEAM,Valdivia,Panzenú,Directos R. Cauca (mi) - R. San Andrés y R. Espiritu Santo - NSS,Río Cauca,129,7.2870833,-75.3963056,Puerto Valdivia,26237040.0,LG
2006,Limnígrafo IDEAM,Venecia,Cartama,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Río Cauca,1750,5.9659444,-75.8414722,Bolombolo,26207080.0,LG
2007,Limnígrafo IDEAM,Zaragoza,Panzenú,Directos al Bajo Nechí (md) - NSS,Río Nechí,180,7.4750000,-74.9208333,San Juan de Nechí,27037030.0,LG
3007,Piezómetros,Caucasia,Panzenú,R. Bajo San Jorge - NSS,Pozo Instrumentado (No Remoto),79,8.0409110,-74.9594950,Corregimiento de Margento-Pueblo Nuevo,,
3008,Piezómetros,Caucasia,Panzenú,R. Bajo San Jorge - NSS,Pozo Instrumentado (No Remoto),80,8.0692420,-75.2111340,Las Damas,,
3014,Piezómetros,Caucasia,Panzenú,R. Bajo San Jorge - NSS,Pozo Instrumentado (Remoto),105,8.0681710,-75.1294580,Villa Mónica-Las Damas,,
3005,Piezómetros,Cáceres,Panzenú,R. Taraza y otros directos cauca (md) - NSS,Pozo Instrumentado (No Remoto),100,7.7515590,-75.2535740,Corregimiento Jardín Tamaná-Institución Educativa Gaspar de Rodas,,
3013,Piezómetros,Cáceres,Panzenú,R. Taraza y otros directos cauca (md) - NSS,Pozo Instrumentado (Remoto),78,7.9145000,-75.1754500,San Sebastián Finca Las María,,
3009,Piezómetros,Envigado,Aburrá Sur,R. Negro - NSS,Pozo Instrumentado (No Remoto),2581,6.1756400,-75.5325000,Finca el Rocío,,
3010,Piezómetros,La Pintada,Cartama,R. FR. y Otros Directos al Cauca - NSS,Pozo Instrumentado (No Remoto),618,5.7422400,-75.6046700,Conjunto Residencial El Crucero,,
3006,Piezómetros,Nechí,Panzenú,R. Bajo San Jorge - NSS,Pozo Instrumentado (No Remoto),48,8.0617670,-74.8771930,Corregimiento de Colorado,,
3001,Piezómetros,Puerto Berrío,Zenufaná,R. San Bartolo y otros directos al Magdalena Medio - NSS,Pozo Instrumentado (No Remoto),60,6.4940430,-74.4231880,Barrio Jardín - Caseta Comunal,,
